,model,RMSE_train,RMSE_test,AIC
3469,"(5, 0, 1),(2, 0, 1, 12)",74.68,200.27,20.0
2354,"(3, 1, 4),(1, 0, 1, 12)",5477.89,13711.76,20.0
203,"(1, 0, 4),(2, 0, 3, 12)",74.68,200.27,22.0
2273,"(3, 1, 2),(4, 1, 1, 12)",902.71,1181.46,22.0
1851,"(3, 0, 3),(1, 0, 3, 12)",74.68,200.27,22.0
3966,"(5, 1, 2),(1, 0, 2, 12)",77.25,195.16,22.0
1750,"(3, 0, 1),(3, 0, 3, 12)",74.68,200.27,22.0
2798,"(4, 0, 4),(2, 0, 1, 12)",74.68,200.27,24.0
281,"(1, 0, 5),(3, 0, 3, 12)",74.68,200.27,26.0
1875,"(3, 0, 3),(3, 0, 3, 12)",74.68,200.27,26.0
228,"(1, 0, 4),(4, 0, 4, 12)",74.68,200.27,28.0
249,"(1, 0, 4),(5, 1, 4, 12)",737.78,1929.13,30.0
3953,"(5, 1, 1),(5, 0, 3, 12)",116893573.98,1111777326.86,30.0
3954,"(5, 1, 1),(5, 0, 4, 12)",15859493.52,652865833.96,32.0
2533,"(3, 1, 6),(5, 1, 1, 12)",15108798.98,1851285924.98,32.0
2497,"(3, 1, 6),(2, 0, 5, 12)",74.68,200.27,34.0
3623,"(5, 0, 3),(4, 0, 5, 12)",74.68,200.27,36.0
2556,"(3, 1, 7),(2, 0, 5, 12)",74.68,200.27,36.0
2716,"(4, 0, 2),(5, 0, 6, 12)",74.68,200.27,36.0
1676,"(2, 1, 7),(2, 0, 7, 12)",74.68,200.27,38.0
2527,"(3, 1, 6),(4, 1, 5, 12)",5907.9,15842.32,38.0
792,"(1, 1, 6),(5, 0, 6, 12)",74.68,200.27,38.0
3395,"(4, 1, 7),(1, 0, 7, 12)",29606.56,36342.02,40.0
604,"(1, 1, 3),(4, 0, 5, 12)",669.3,1564.32,40.35018499162781
2343,"(3, 1, 3),(5, 0, 1, 12)",79.56,196.4,41.25488668808376
2960,"(4, 0, 6),(5, 0, 5, 12)",74.68,200.27,42.0
3638,"(5, 0, 3),(5, 0, 7, 12)",74.68,200.27,42.0
673,"(1, 1, 4),(5, 0, 5, 12)",451.11,635.43,44.59941579840417
4004,"(5, 1, 2),(4, 0, 3, 12)",10194.86,51235.82,45.14528540091
772,"(1, 1, 6),(3, 0, 3, 12)",85.5,226.82,49.59652373147101
626,"(1, 1, 4),(1, 0, 1, 12)",752.86,1863.84,51.85847505438112
838,"(1, 1, 7),(4, 0, 6, 12)",1482.74,3312.41,52.88736475626764
752,"(1, 1, 6),(1, 0, 7, 12)",312.02,387.99,54.366559734263504
4310,"(5, 1, 7),(4, 0, 3, 12)",20965.73,113868.46,54.643355255349384
4032,"(5, 1, 3),(1, 0, 6, 12)",182571.63,466204.64,54.752605482202185
629,"(1, 1, 4),(1, 0, 4, 12)",503.5,1319.76,55.91572429759865
3256,"(4, 1, 4),(5, 0, 1, 12)",2272.31,6046.14,58.188008711763345
229,"(1, 0, 4),(4, 0, 5, 12)",112912.9,457968.57,59.75324435696519
4240,"(5, 1, 6),(2, 0, 7, 12)",26353.26,69103.82,60.28699805038501
4043,"(5, 1, 3),(2, 0, 3, 12)",341.37,6393.48,61.469824913160636
746,"(1, 1, 6),(1, 0, 1, 12)",1014.41,2875.35,77.21042455042654
3046,"(4, 1, 1),(2, 0, 1, 12)",1007.28,1073.94,81.17486864337775
4299,"(5, 1, 7),(3, 0, 3, 12)",237.44,536.64,82.42591732089704
849,"(1, 1, 7),(5, 0, 4, 12)",74.25,201.4,83.46763894556423
782,"(1, 1, 6),(4, 0, 7, 12)",8484.93,21186.27,85.63537832280288
1737,"(3, 0, 1),(2, 0, 3, 12)",1172.47,1299.31,90.81393126827035
603,"(1, 1, 3),(4, 0, 4, 12)",4290.06,7385.91,98.03233412904343
2396,"(3, 1, 4),(4, 0, 5, 12)",4520.86,10073.31,107.18608096014535
2577,"(3, 1, 7),(4, 0, 3, 12)",758.95,3789.98,119.71338402441143
4311,"(5, 1, 7),(4, 0, 5, 12)",2188.32,2353.62,123.56183671400439
628,"(1, 1, 4),(1, 0, 3, 12)",39149.99,105343.65,131.854389802414
750,"(1, 1, 6),(1, 0, 5, 12)",2553.89,6841.47,135.18450304645216
748,"(1, 1, 6),(1, 0, 3, 12)",508.34,1370.62,151.70473327065253
581,"(1, 1, 3),(2, 0, 5, 12)",608.05,1635.27,156.18036669608034
567,"(1, 1, 3),(1, 0, 4, 12)",158332.57,424901.58,162.81980986304904
1467,"(2, 1, 4),(1, 0, 4, 12)",127369.54,342456.02,170.521268478413
762,"(1, 1, 6),(2, 0, 5, 12)",5061.27,13670.96,182.5661666431316
654,"(1, 1, 4),(3, 0, 6, 12)",462.23,1240.17,192.01611582975184
653,"(1, 1, 4),(3, 0, 6, 12)",462.23,1240.17,192.01611582975184
1802,"(3, 0, 2),(2, 0, 5, 12)",12355.92,34810.8,234.42386299170468
2185,"(3, 1, 1),(2, 0, 3, 12)",7910.63,21769.46,272.4535414091907
698,"(1, 1, 5),(2, 0, 3, 12)",40402.45,108286.05,282.59126156995677
3967,"(5, 1, 2),(1, 0, 3, 12)",80476.6,228342.02,393.65675680568734
2580,"(3, 1, 7),(4, 0, 6, 12)",787.52,2195.73,437.0722055319734
3336,"(4, 1, 6),(1, 0, 6, 12)",15123.39,26949.06,482.60683754553827
1739,"(3, 0, 1),(2, 0, 5, 12)",1500.79,1746.78,669.9324934537794
751,"(1, 1, 6),(1, 0, 6, 12)",50897.63,144787.5,693.2658148912624
2398,"(3, 1, 4),(4, 0, 7, 12)",64576.53,181488.96,720.2272746759227
1927,"(3, 0, 4),(2, 0, 3, 12)",55.45,169.39,1685.6368372886486
1456,"(2, 1, 3),(5, 0, 2, 12)",4717.22,29688.75,2177.603107199505
1496,"(2, 1, 4),(3, 1, 4, 12)",27.87,80.69,2615.4775643166345
63,"(1, 0, 1),(5, 1, 6, 12)",26.79,84.69,2615.8488760792598
1761,"(3, 0, 1),(3, 1, 7, 12)",26.73,82.52,2616.106754835185
102,"(1, 0, 2),(3, 1, 7, 12)",26.84,82.4,2616.3898984889265
35,"(1, 0, 1),(3, 1, 4, 12)",27.37,79.26,2617.0692712814216
2719,"(4, 0, 2),(5, 1, 2, 12)",27.05,85.83,2617.123002608654
49,"(1, 0, 1),(4, 1, 4, 12)",27.35,79.21,2617.430250025811
61,"(1, 0, 1),(5, 1, 4, 12)",27.19,84.27,2617.433214966324
895,"(2, 0, 1),(3, 1, 7, 12)",26.77,81.49,2617.6569019805343
2709,"(4, 0, 2),(4, 1, 4, 12)",26.86,79.52,2617.675176103255
2721,"(4, 0, 2),(5, 1, 4, 12)",26.79,85.82,2617.731559210777
64,"(1, 0, 1),(5, 1, 7, 12)",26.71,80.96,2617.803556807902
59,"(1, 0, 1),(5, 1, 2, 12)",27.51,86.19,2617.9130343493443
1497,"(2, 1, 4),(3, 1, 5, 12)",27.95,80.56,2618.284188458889
51,"(1, 0, 1),(4, 1, 6, 12)",26.85,86.8,2618.3224121122016
1499,"(2, 1, 4),(3, 1, 7, 12)",27.6,81.87,2618.511720211831
2415,"(3, 1, 4),(5, 1, 6, 12)",27.6,80.95,2618.5154672415897
2698,"(4, 0, 2),(3, 1, 5, 12)",26.94,80.14,2618.5221374624425
2390,"(3, 1, 4),(3, 1, 6, 12)",27.74,82.11,2618.5717420867495
2350,"(3, 1, 3),(5, 1, 4, 12)",27.78,85.94,2618.622264922871
4063,"(5, 1, 3),(3, 1, 4, 12)",27.9,80.59,2618.6847841586978
119,"(1, 0, 2),(5, 1, 2, 12)",27.41,86.65,2618.7568119259327
3495,"(5, 0, 1),(3, 1, 7, 12)",26.65,83.26,2618.834338889128
2700,"(4, 0, 2),(3, 1, 7, 12)",26.56,82.08,2618.844426098046
121,"(1, 0, 2),(5, 1, 4, 12)",27.14,84.72,2618.8718616762585
916,"(2, 0, 1),(5, 1, 4, 12)",27.21,84.62,2618.941067557213
1342,"(2, 1, 1),(4, 1, 4, 12)",28.28,79.72,2619.077821040888
1498,"(2, 1, 4),(3, 1, 6, 12)",27.88,81.25,2619.1083101328754
2414,"(3, 1, 4),(5, 1, 5, 12)",27.61,85.52,2619.1195686449532
2352,"(3, 1, 3),(5, 1, 6, 12)",27.57,84.81,2619.178030852361
562,"(1, 1, 2),(5, 1, 6, 12)",28.03,83.79,2619.2911150975015
36,"(1, 0, 1),(3, 1, 5, 12)",27.37,79.13,2619.373042815458
162,"(1, 0, 3),(3, 1, 7, 12)",26.83,81.32,2619.3768676319223
905,"(2, 0, 1),(4, 1, 4, 12)",27.35,79.25,2619.392707672609
2724,"(4, 0, 2),(5, 1, 7, 12)",26.29,81.83,2619.426785974257
110,"(1, 0, 2),(4, 1, 4, 12)",27.33,79.15,2619.4886126848387
1149,"(2, 0, 5),(4, 1, 4, 12)",26.85,79.51,2619.6360442960886
2781,"(4, 0, 3),(5, 1, 4, 12)",26.77,84.25,2619.6391130369275
2021,"(3, 0, 5),(4, 1, 4, 12)",26.61,79.14,2619.6475063703792
38,"(1, 0, 1),(3, 1, 7, 12)",26.99,80.41,2619.708080703486
2339,"(3, 1, 3),(4, 1, 4, 12)",27.97,79.06,2619.7340359761465
914,"(2, 0, 1),(5, 1, 2, 12)",27.51,86.19,2619.9147858104925
1034,"(2, 0, 3),(5, 1, 2, 12)",27.35,85.67,2620.014010471235
2328,"(3, 1, 3),(3, 1, 4, 12)",28.18,79.09,2620.05161182585
1508,"(2, 1, 4),(4, 1, 5, 12)",27.93,82.87,2620.079088395036
2033,"(3, 0, 5),(5, 1, 2, 12)",26.95,83.64,2620.08128650032
172,"(1, 0, 3),(4, 1, 4, 12)",27.27,79.15,2620.1079735176945
50,"(1, 0, 1),(4, 1, 5, 12)",27.3,84.14,2620.113741134427
181,"(1, 0, 3),(5, 1, 2, 12)",27.4,86.64,2620.153111821847
3268,"(4, 1, 4),(5, 1, 7, 12)",27.35,82.98,2620.154104502767
4064,"(5, 1, 3),(3, 1, 5, 12)",27.74,80.27,2620.1901377698277
1355,"(2, 1, 1),(5, 1, 4, 12)",28.22,84.12,2620.201226554021
2639,"(4, 0, 1),(3, 1, 7, 12)",26.67,82.27,2620.2057202324604
2760,"(4, 0, 3),(3, 1, 7, 12)",26.54,80.65,2620.209461964283
893,"(2, 0, 1),(3, 1, 5, 12)",27.3,79.75,2620.2252823857943
292,"(1, 0, 5),(3, 1, 7, 12)",26.77,84.55,2620.2709824712297
2202,"(3, 1, 1),(3, 1, 4, 12)",28.28,78.9,2620.3056833356027
1779,"(3, 0, 1),(5, 1, 2, 12)",27.44,87.0,2620.312164674379
2388,"(3, 1, 4),(3, 1, 4, 12)",28.08,76.94,2620.3715375304023
537,"(1, 1, 2),(3, 1, 4, 12)",28.57,79.21,2620.3953423709654
2710,"(4, 0, 2),(4, 1, 5, 12)",26.88,81.94,2620.3973655829823
975,"(2, 0, 2),(5, 1, 4, 12)",27.2,84.69,2620.4783045805616
550,"(1, 1, 2),(4, 1, 4, 12)",28.47,79.2,2620.4828338835605
600,"(1, 1, 3),(3, 1, 7, 12)",27.81,85.36,2620.4953091353846
183,"(1, 0, 3),(5, 1, 4, 12)",27.08,84.96,2620.711060824989
955,"(2, 0, 2),(3, 1, 7, 12)",26.81,81.46,2620.779174603448
1330,"(2, 1, 1),(3, 1, 4, 12)",28.52,80.28,2620.806495756674
2331,"(3, 1, 3),(3, 1, 7, 12)",27.75,81.05,2620.8383206545277
2660,"(4, 0, 1),(5, 1, 4, 12)",27.1,84.7,2620.8442834997218
1781,"(3, 0, 1),(5, 1, 4, 12)",27.15,84.12,2620.9295916853152
2658,"(4, 0, 1),(5, 1, 2, 12)",27.33,86.54,2620.952978089558
1770,"(3, 0, 1),(4, 1, 4, 12)",27.3,79.19,2620.96882114405
2403,"(3, 1, 4),(4, 1, 5, 12)",27.92,79.17,2620.996527861853
1885,"(3, 0, 3),(3, 1, 7, 12)",26.74,80.84,2621.004941112327
2413,"(3, 1, 4),(5, 1, 4, 12)",27.69,84.34,2621.017067454378
100,"(1, 0, 2),(3, 1, 5, 12)",27.33,79.06,2621.067214153366
247,"(1, 0, 4),(5, 1, 2, 12)",27.32,86.7,2621.200993856517
1451,"(2, 1, 3),(4, 1, 4, 12)",28.24,79.45,2621.2061832737163
2723,"(4, 0, 2),(5, 1, 6, 12)",26.69,84.7,2621.306655586175
2831,"(4, 0, 4),(5, 1, 2, 12)",27.03,87.47,2621.3224851598698
3205,"(4, 1, 3),(5, 1, 6, 12)",27.72,82.36,2621.3729283644134
489,"(1, 1, 1),(4, 1, 4, 12)",28.39,79.64,2621.3808438572382
2711,"(4, 0, 2),(4, 1, 6, 12)",26.71,88.24,2621.4391538365867
1095,"(2, 0, 4),(5, 1, 2, 12)",27.23,86.83,2621.4654917301195
3517,"(5, 0, 1),(5, 1, 4, 12)",27.03,84.3,2621.468965505198
478,"(1, 1, 1),(3, 1, 5, 12)",28.62,79.72,2621.53683455519
1845,"(3, 0, 2),(5, 1, 4, 12)",27.14,84.06,2621.5800024144223
3065,"(4, 1, 1),(3, 1, 7, 12)",27.99,82.55,2621.6499714089455
2416,"(3, 1, 4),(5, 1, 7, 12)",27.59,85.43,2621.654720938793
560,"(1, 1, 2),(5, 1, 4, 12)",28.38,83.44,2621.661556016275
3267,"(4, 1, 4),(5, 1, 6, 12)",27.64,82.16,2621.6666303650354
1075,"(2, 0, 4),(3, 1, 7, 12)",26.59,81.64,2621.7084687754286
963,"(2, 0, 2),(4, 1, 4, 12)",27.36,79.27,2621.7126520025527
3515,"(5, 0, 1),(5, 1, 2, 12)",27.27,85.78,2621.7137906777434
480,"(1, 1, 1),(3, 1, 7, 12)",28.28,81.15,2621.715721618648
973,"(2, 0, 2),(5, 1, 2, 12)",27.52,86.5,2621.7622394228533
2329,"(3, 1, 3),(3, 1, 5, 12)",28.15,79.15,2621.7752771746937
2212,"(3, 1, 1),(4, 1, 4, 12)",28.37,79.24,2621.7758786183012
2699,"(4, 0, 2),(3, 1, 6, 12)",26.84,79.27,2621.8040929268127
3252,"(4, 1, 4),(4, 1, 4, 12)",27.88,79.54,2621.8959746167693
1442,"(2, 1, 3),(3, 1, 4, 12)",28.3,78.94,2621.912297677759
1161,"(2, 0, 5),(5, 1, 2, 12)",27.19,84.52,2621.9429751792995
1843,"(3, 0, 2),(5, 1, 2, 12)",27.35,87.25,2621.95654158317
1896,"(3, 0, 3),(4, 1, 5, 12)",26.84,84.44,2621.9645256499043
2648,"(4, 0, 1),(4, 1, 4, 12)",27.25,79.12,2621.9719632987026
1833,"(3, 0, 2),(4, 1, 4, 12)",27.27,79.18,2621.9881159316387
111,"(1, 0, 2),(4, 1, 5, 12)",27.27,83.85,2622.0430069231766
2008,"(3, 0, 5),(3, 1, 5, 12)",26.85,78.85,2622.047571513917
500,"(1, 1, 1),(5, 1, 4, 12)",28.38,84.72,2622.068835363724
2818,"(4, 0, 4),(3, 1, 7, 12)",26.42,81.08,2622.0712110652416
2264,"(3, 1, 2),(3, 1, 4, 12)",28.42,79.75,2622.0948088861137
1016,"(2, 0, 3),(3, 1, 7, 12)",26.79,81.58,2622.125323519891
2389,"(3, 1, 4),(3, 1, 5, 12)",28.12,80.44,2622.152088554727
224,"(1, 0, 4),(3, 1, 7, 12)",26.82,80.98,2622.184542933365
490,"(1, 1, 1),(4, 1, 5, 12)",28.54,82.65,2622.194482778789
1343,"(2, 1, 1),(4, 1, 5, 12)",28.26,84.87,2622.1972257106813
1403,"(2, 1, 2),(4, 1, 4, 12)",28.36,79.62,2622.2159568446195
2391,"(3, 1, 4),(3, 1, 7, 12)",27.49,79.73,2622.2343419165545
1897,"(3, 0, 3),(4, 1, 6, 12)",27.09,94.16,2622.288558766472
2514,"(3, 1, 6),(3, 1, 4, 12)",28.09,79.25,2622.304698452765
1759,"(3, 0, 1),(3, 1, 5, 12)",27.31,79.23,2622.3184099327063
4277,"(5, 1, 6),(5, 1, 6, 12)",27.53,83.12,2622.329416556389
312,"(1, 0, 5),(5, 1, 4, 12)",27.0,84.05,2622.37097137433
1084,"(2, 0, 4),(4, 1, 4, 12)",27.16,79.33,2622.410764613951
1461,"(2, 1, 3),(5, 1, 4, 12)",28.19,83.4,2622.420464056605
3075,"(4, 1, 1),(4, 1, 4, 12)",28.36,79.86,2622.45886265015
1333,"(2, 1, 1),(3, 1, 7, 12)",28.33,80.5,2622.460034521751
1946,"(3, 0, 4),(3, 1, 7, 12)",26.58,83.22,2622.481073490099
477,"(1, 1, 1),(3, 1, 4, 12)",28.81,82.04,2622.4817790719126
2009,"(3, 0, 5),(3, 1, 6, 12)",26.78,80.58,2622.5908132808863
310,"(1, 0, 5),(5, 1, 2, 12)",27.31,85.67,2622.5982589217583
906,"(2, 0, 1),(4, 1, 5, 12)",27.35,83.19,2622.6000511580733
2676,"(4, 0, 2),(1, 1, 6, 12)",27.51,98.61,2622.6212753523614
3504,"(5, 0, 1),(4, 1, 4, 12)",27.28,79.68,2622.6860418287633
540,"(1, 1, 2),(3, 1, 7, 12)",28.23,80.16,2622.7136518636644
4089,"(5, 1, 3),(5, 1, 6, 12)",27.69,87.27,2622.714810576229
2823,"(4, 0, 4),(4, 1, 4, 12)",26.76,79.19,2622.775964130361
2340,"(3, 1, 3),(4, 1, 5, 12)",28.1,81.19,2622.815393414159
2964,"(4, 0, 6),(5, 1, 2, 12)",26.77,86.08,2622.835033891668
235,"(1, 0, 4),(4, 1, 4, 12)",27.33,79.26,2622.8501139006466
1905,"(3, 0, 3),(5, 1, 2, 12)",27.35,82.17,2622.930181339214
1507,"(2, 1, 4),(4, 1, 4, 12)",28.26,83.69,2622.966390455663
1203,"(2, 0, 6),(3, 1, 5, 12)",26.96,80.0,2623.013107619292
2402,"(3, 1, 4),(4, 1, 4, 12)",28.12,83.44,2623.0280734256758
1520,"(2, 1, 4),(5, 1, 4, 12)",28.08,95.59,2623.0958401453267
597,"(1, 1, 3),(3, 1, 4, 12)",28.48,79.19,2623.097082168862
1628,"(2, 1, 6),(3, 1, 5, 12)",28.11,82.54,2623.1196883265206
12,"(1, 0, 1),(1, 1, 6, 12)",27.94,97.48,2623.1664672279894
3520,"(5, 0, 1),(5, 1, 7, 12)",26.55,80.8,2623.190261738222
1036,"(2, 0, 3),(5, 1, 4, 12)",27.23,84.35,2623.2067871728404
302,"(1, 0, 5),(4, 1, 4, 12)",27.22,79.04,2623.223234263996
4075,"(5, 1, 3),(4, 1, 4, 12)",28.03,78.74,2623.232174703622
3453,"(4, 1, 7),(5, 1, 6, 12)",27.64,83.28,2623.2325502261956
2585,"(3, 1, 7),(4, 1, 4, 12)",27.8,79.38,2623.2784590403053
551,"(1, 1, 2),(4, 1, 5, 12)",28.55,84.05,2623.287835922205
289,"(1, 0, 5),(3, 1, 4, 12)",27.26,78.92,2623.311033343256
1443,"(2, 1, 3),(3, 1, 5, 12)",28.34,79.15,2623.3116509573324
2697,"(4, 0, 2),(3, 1, 4, 12)",27.19,79.43,2623.3412825888427
2835,"(4, 0, 4),(5, 1, 6, 12)",26.53,83.57,2623.3914391354965
2637,"(4, 0, 1),(3, 1, 5, 12)",27.29,79.32,2623.413430181923
1227,"(2, 0, 6),(5, 1, 4, 12)",26.96,85.51,2623.4169249491442
1445,"(2, 1, 3),(3, 1, 7, 12)",27.99,80.66,2623.442652987881
62,"(1, 0, 1),(5, 1, 5, 12)",27.6,103.87,2623.5037864800006
2276,"(3, 1, 2),(4, 1, 4, 12)",28.35,81.76,2623.538175498899
3180,"(4, 1, 3),(3, 1, 4, 12)",28.23,79.21,2623.539476984667
4087,"(5, 1, 3),(5, 1, 4, 12)",27.96,88.28,2623.541693104765
3085,"(4, 1, 1),(5, 1, 4, 12)",28.25,84.58,2623.577757791798
37,"(1, 0, 1),(3, 1, 6, 12)",27.3,78.64,2623.716377777169
3192,"(4, 1, 3),(4, 1, 4, 12)",28.16,79.13,2623.7168237274736
1823,"(3, 0, 2),(3, 1, 7, 12)",26.83,81.53,2623.7298947150794
1393,"(2, 1, 2),(3, 1, 4, 12)",28.5,79.13,2623.7423018072377
374,"(1, 0, 6),(5, 1, 2, 12)",27.27,85.96,2623.757856650559
3493,"(5, 0, 1),(3, 1, 5, 12)",27.18,79.0,2623.759513066244
1412,"(2, 1, 2),(5, 1, 4, 12)",28.26,85.27,2623.7870439222343
953,"(2, 0, 2),(3, 1, 5, 12)",27.18,78.8,2623.8029367081913
3063,"(4, 1, 1),(3, 1, 5, 12)",28.46,79.6,2623.8903470972455
1463,"(2, 1, 3),(5, 1, 6, 12)",28.01,81.53,2623.8972970246577
502,"(1, 1, 1),(5, 1, 6, 12)",28.45,84.3,2623.907956858714
2825,"(4, 0, 4),(4, 1, 6, 12)",26.95,99.73,2623.960714635098
1139,"(2, 0, 5),(3, 1, 7, 12)",26.9,95.36,2623.962660418314
1848,"(3, 0, 2),(5, 1, 7, 12)",26.71,81.38,2623.972878891474
3265,"(4, 1, 4),(5, 1, 4, 12)",27.83,84.18,2623.9852043979154
3963,"(5, 1, 1),(5, 1, 6, 12)",27.95,84.02,2623.991612747904
2330,"(3, 1, 3),(3, 1, 6, 12)",28.17,79.31,2624.0133126329006
1452,"(2, 1, 3),(4, 1, 5, 12)",28.17,87.15,2624.0950252933244
173,"(1, 0, 3),(4, 1, 5, 12)",27.3,83.32,2624.138158218262
1771,"(3, 0, 1),(4, 1, 5, 12)",27.33,83.96,2624.149361553725
1907,"(3, 0, 3),(5, 1, 4, 12)",27.08,82.95,2624.1576390619666
2526,"(3, 1, 6),(4, 1, 4, 12)",27.98,84.22,2624.19618484295
3692,"(5, 0, 4),(4, 1, 4, 12)",26.86,79.44,2624.212654180023
2289,"(3, 1, 2),(5, 1, 4, 12)",28.15,93.63,2624.2270097742658
1073,"(2, 0, 4),(3, 1, 5, 12)",27.18,79.35,2624.2550953758764
2404,"(3, 1, 4),(4, 1, 6, 12)",28.15,96.21,2624.264870030312
964,"(2, 0, 2),(4, 1, 5, 12)",27.22,84.74,2624.290647383934
2538,"(3, 1, 6),(5, 1, 6, 12)",27.58,86.11,2624.296237543912
3134,"(4, 1, 2),(4, 1, 4, 12)",28.29,83.15,2624.2964988332005
1564,"(2, 1, 5),(3, 1, 7, 12)",27.84,81.27,2624.3287588029057
364,"(1, 0, 6),(4, 1, 4, 12)",27.16,79.21,2624.3463753906926
161,"(1, 0, 3),(3, 1, 6, 12)",27.32,79.3,2624.364594384334
1025,"(2, 0, 3),(4, 1, 4, 12)",27.29,79.09,2624.4026443025396
2515,"(3, 1, 6),(3, 1, 5, 12)",27.94,82.42,2624.4257246433845
1895,"(3, 0, 3),(4, 1, 4, 12)",27.12,78.97,2624.4423789793673
3557,"(5, 0, 2),(3, 1, 7, 12)",26.67,82.07,2624.48163703853
77,"(1, 0, 2),(1, 1, 6, 12)",27.88,96.83,2624.513545320581
4066,"(5, 1, 3),(3, 1, 7, 12)",27.82,84.15,2624.5166695152793
1909,"(3, 0, 3),(5, 1, 6, 12)",26.58,80.39,2624.546467378568
1225,"(2, 0, 6),(5, 1, 2, 12)",27.21,86.27,2624.5598441429
438,"(1, 0, 7),(5, 1, 2, 12)",27.17,87.76,2624.6009414022224
1760,"(3, 0, 1),(3, 1, 6, 12)",27.32,79.23,2624.6116384694606
4136,"(5, 1, 4),(4, 1, 6, 12)",27.74,100.47,2624.6249079077593
1734,"(3, 0, 1),(1, 1, 6, 12)",27.79,97.25,2624.6563480010605
668,"(1, 1, 4),(4, 1, 4, 12)",28.31,86.17,2624.6670938893285
290,"(1, 0, 5),(3, 1, 5, 12)",27.23,79.27,2624.724857407902
1306,"(2, 1, 1),(1, 1, 6, 12)",29.0,97.94,2624.7481179907095
160,"(1, 0, 3),(3, 1, 5, 12)",27.3,78.68,2624.789401503739
3243,"(4, 1, 4),(3, 1, 6, 12)",27.99,79.86,2624.801286726266
2205,"(3, 1, 1),(3, 1, 7, 12)",28.18,80.61,2624.803802157942
2824,"(4, 0, 4),(4, 1, 5, 12)",26.86,87.13,2624.810575224086
2815,"(4, 0, 4),(3, 1, 4, 12)",26.81,79.14,2624.815230578851
4076,"(5, 1, 3),(4, 1, 6, 12)",28.04,94.6,2624.878761707759
965,"(2, 0, 2),(4, 1, 6, 12)",27.11,95.83,2624.8832648450634
479,"(1, 1, 1),(3, 1, 6, 12)",28.49,79.08,2624.887456143121
3390,"(4, 1, 6),(5, 1, 6, 12)",27.75,83.28,2624.9285660936152
1014,"(2, 0, 3),(3, 1, 5, 12)",27.36,79.11,2624.963818365166
2353,"(3, 1, 3),(5, 1, 7, 12)",27.81,80.88,2624.9723072523648
3028,"(4, 0, 7),(5, 1, 2, 12)",26.83,83.97,2624.997745631248
622,"(1, 1, 3),(5, 1, 4, 12)",28.36,87.6,2625.005578899871
658,"(1, 1, 4),(3, 1, 4, 12)",28.57,80.34,2625.0248258528377
1396,"(2, 1, 2),(3, 1, 7, 12)",28.18,80.79,2625.030454932451
3427,"(4, 1, 7),(3, 1, 5, 12)",27.9,82.84,2625.0347888008278
418,"(1, 0, 7),(3, 1, 7, 12)",26.59,82.56,2625.0415850031313
2267,"(3, 1, 2),(3, 1, 7, 12)",28.11,85.07,2625.0440437849566
1357,"(2, 1, 1),(5, 1, 6, 12)",28.3,85.3,2625.1023746819096
4065,"(5, 1, 3),(3, 1, 6, 12)",28.03,83.56,2625.1368831570685
13,"(1, 0, 1),(1, 1, 7, 12)",27.95,97.96,2625.147102287136
2649,"(4, 0, 1),(4, 1, 5, 12)",27.3,83.36,2625.1636438507867
2833,"(4, 0, 4),(5, 1, 4, 12)",27.03,96.25,2625.1641861897397
869,"(2, 0, 1),(1, 1, 6, 12)",27.94,97.52,2625.1668004660582
4149,"(5, 1, 4),(5, 1, 6, 12)",27.54,84.27,2625.1708169927206
514,"(1, 1, 2),(1, 1, 6, 12)",29.04,97.77,2625.1772170438617
2685,"(4, 0, 2),(2, 1, 3, 12)",27.9,104.23,2625.215501925064
3682,"(5, 0, 4),(3, 1, 7, 12)",26.48,81.39,2625.287923743367
3064,"(4, 1, 1),(3, 1, 6, 12)",28.37,79.4,2625.2951968652023
3961,"(5, 1, 1),(5, 1, 4, 12)",28.22,83.5,2625.298120520033
3124,"(4, 1, 2),(3, 1, 5, 12)",28.33,79.21,2625.311275807192
1332,"(2, 1, 1),(3, 1, 6, 12)",28.37,78.93,2625.312425063218
3505,"(5, 0, 1),(4, 1, 5, 12)",27.14,83.98,2625.315180118351
2022,"(3, 0, 5),(4, 1, 5, 12)",27.14,88.21,2625.318600389283
376,"(1, 0, 6),(5, 1, 4, 12)",27.11,84.27,2625.37446364448
3680,"(5, 0, 4),(3, 1, 5, 12)",26.99,79.6,2625.3793143465336
