,model,RMSE_train,RMSE_test,AIC
3881,"(5, 0, 7),(3, 1, 7, 12)",26.63,76.08,2634.650699217217
2388,"(3, 1, 4),(3, 1, 4, 12)",28.08,76.94,2620.3715375304023
3878,"(5, 0, 7),(3, 1, 4, 12)",27.21,77.21,2642.8824023378775
3879,"(5, 0, 7),(3, 1, 5, 12)",26.89,77.39,2633.2420159191834
4150,"(5, 1, 4),(5, 1, 7, 12)",27.29,77.85,2633.448751385067
3428,"(4, 1, 7),(3, 1, 6, 12)",27.88,78.31,2633.5796090317654
3316,"(4, 1, 5),(4, 1, 4, 12)",28.48,78.37,2641.2711595632177
1884,"(3, 0, 3),(3, 1, 6, 12)",27.1,78.42,2629.4524063420195
291,"(1, 0, 5),(3, 1, 6, 12)",27.12,78.43,2628.2534526297013
3618,"(5, 0, 3),(3, 1, 6, 12)",27.08,78.43,2633.6659351108474
252,"(1, 0, 4),(5, 1, 7, 12)",27.27,78.44,2637.27921636683
1138,"(2, 0, 5),(3, 1, 6, 12)",27.12,78.45,2631.1375005575965
3006,"(4, 0, 7),(3, 1, 6, 12)",27.01,78.48,2635.5132256122984
379,"(1, 0, 6),(5, 1, 7, 12)",27.16,78.5,2638.8618875086913
1706,"(2, 1, 7),(4, 1, 5, 12)",28.38,78.51,2636.0393351572434
894,"(2, 0, 1),(3, 1, 6, 12)",27.24,78.51,2625.8587641914096
2638,"(4, 0, 1),(3, 1, 6, 12)",27.16,78.51,2627.4354347219755
3494,"(5, 0, 1),(3, 1, 6, 12)",27.1,78.51,2628.486135061177
2076,"(3, 0, 6),(3, 1, 6, 12)",27.09,78.52,2632.5007957330363
222,"(1, 0, 4),(3, 1, 5, 12)",27.25,78.52,2628.8906455781907
2142,"(3, 0, 6),(3, 1, 6, 12)",27.09,78.52,2632.5007957330363
3709,"(5, 0, 4),(5, 1, 7, 12)",27.08,78.52,2640.8628553087365
3005,"(4, 0, 7),(3, 1, 5, 12)",26.86,78.53,2627.476041515939
1015,"(2, 0, 3),(3, 1, 6, 12)",27.29,78.53,2629.505601439124
3556,"(5, 0, 2),(3, 1, 6, 12)",27.15,78.53,2631.2058806553073
1821,"(3, 0, 2),(3, 1, 5, 12)",27.23,78.54,2628.4843905425387
3778,"(5, 0, 5),(5, 1, 7, 12)",27.14,78.54,2642.0426129480784
1910,"(3, 0, 3),(5, 1, 7, 12)",26.75,78.55,2627.52166076369
315,"(1, 0, 5),(5, 1, 7, 12)",27.22,78.55,2636.882849635789
3749,"(5, 0, 5),(3, 1, 6, 12)",26.9,78.55,2633.645494589795
892,"(2, 0, 1),(3, 1, 4, 12)",27.36,78.56,2635.56798551912
223,"(1, 0, 4),(3, 1, 6, 12)",27.24,78.57,2629.0651780195603
1137,"(2, 0, 5),(3, 1, 5, 12)",27.09,78.59,2627.5515635301044
2759,"(4, 0, 3),(3, 1, 6, 12)",27.09,78.59,2629.5510506757773
352,"(1, 0, 6),(3, 1, 5, 12)",27.16,78.6,2630.4369943203956
101,"(1, 0, 2),(3, 1, 6, 12)",27.28,78.6,2625.976515697856
1270,"(2, 0, 7),(3, 1, 6, 12)",26.97,78.62,2630.50722680101
37,"(1, 0, 1),(3, 1, 6, 12)",27.3,78.64,2623.716377777169
919,"(2, 0, 1),(5, 1, 7, 12)",27.21,78.65,2632.3316983886903
1166,"(2, 0, 5),(5, 1, 7, 12)",27.2,78.66,2638.498285815176
659,"(1, 1, 4),(3, 1, 5, 12)",28.25,78.66,2625.7075461757204
160,"(1, 0, 3),(3, 1, 5, 12)",27.3,78.68,2624.789401503739
4124,"(5, 1, 4),(3, 1, 5, 12)",28.12,78.69,2626.0689414984213
442,"(1, 0, 7),(5, 1, 7, 12)",27.04,78.7,2637.5058779586825
3817,"(5, 0, 6),(3, 1, 6, 12)",27.07,78.71,2636.165949600223
1692,"(2, 1, 7),(3, 1, 4, 12)",28.38,78.72,2630.020658588367
4123,"(5, 1, 4),(3, 1, 4, 12)",28.17,78.72,2629.644022607018
159,"(1, 0, 3),(3, 1, 4, 12)",27.53,78.72,2630.7701873173746
1204,"(2, 0, 6),(3, 1, 6, 12)",27.15,78.74,2633.315588538022
1883,"(3, 0, 3),(3, 1, 5, 12)",27.23,78.74,2629.6828195904363
4075,"(5, 1, 3),(4, 1, 4, 12)",28.03,78.74,2623.232174703622
2266,"(3, 1, 2),(3, 1, 6, 12)",28.25,78.75,2628.689198747642
2087,"(3, 0, 6),(4, 1, 4, 12)",27.04,78.76,2628.089735772936
1784,"(3, 0, 1),(5, 1, 7, 12)",27.21,78.76,2632.8213678442103
2153,"(3, 0, 6),(4, 1, 4, 12)",27.04,78.76,2628.089735772936
954,"(2, 0, 2),(3, 1, 6, 12)",27.19,78.77,2625.470221975821
3182,"(4, 1, 3),(3, 1, 6, 12)",28.12,78.78,2628.6457438627513
1444,"(2, 1, 3),(3, 1, 6, 12)",28.24,78.79,2626.567529982599
953,"(2, 0, 2),(3, 1, 5, 12)",27.18,78.8,2623.8029367081913
416,"(1, 0, 7),(3, 1, 5, 12)",27.1,78.8,2630.0769170005624
1358,"(2, 1, 1),(5, 1, 7, 12)",28.45,78.81,2634.469284770046
3242,"(4, 1, 4),(3, 1, 5, 12)",28.24,78.81,2627.252487730563
2940,"(4, 0, 6),(3, 1, 6, 12)",27.06,78.82,2634.9018355630487
669,"(1, 1, 4),(4, 1, 5, 12)",28.39,78.82,2627.953749668397
3841,"(5, 0, 6),(5, 1, 6, 12)",26.73,78.82,2633.4473059147467
1394,"(2, 1, 2),(3, 1, 5, 12)",28.73,78.84,2637.883830166025
4000,"(5, 1, 2),(3, 1, 6, 12)",28.21,78.84,2632.739407068898
2008,"(3, 0, 5),(3, 1, 5, 12)",26.85,78.85,2622.047571513917
4126,"(5, 1, 4),(3, 1, 7, 12)",27.76,78.85,2629.1939846454825
776,"(1, 1, 6),(3, 1, 4, 12)",28.21,78.85,2638.1054864473313
353,"(1, 0, 6),(3, 1, 6, 12)",27.24,78.85,2628.935169642933
3181,"(4, 1, 3),(3, 1, 5, 12)",28.17,78.88,2625.814977410199
1693,"(2, 1, 7),(3, 1, 5, 12)",28.33,78.89,2631.422153064451
3761,"(5, 0, 5),(4, 1, 4, 12)",26.92,78.9,2628.220975526681
1230,"(2, 0, 6),(5, 1, 7, 12)",27.08,78.9,2637.946684460644
2202,"(3, 1, 1),(3, 1, 4, 12)",28.28,78.9,2620.3056833356027
3306,"(4, 1, 5),(3, 1, 6, 12)",28.17,78.91,2631.5152686360602
3747,"(5, 0, 5),(3, 1, 4, 12)",27.41,78.92,2639.6910213788365
289,"(1, 0, 5),(3, 1, 4, 12)",27.26,78.92,2623.311033343256
1332,"(2, 1, 1),(3, 1, 6, 12)",28.37,78.93,2625.312425063218
1442,"(2, 1, 3),(3, 1, 4, 12)",28.3,78.94,2621.912297677759
1331,"(2, 1, 1),(3, 1, 5, 12)",28.39,78.94,2625.4907689387283
1280,"(2, 0, 7),(4, 1, 4, 12)",26.97,78.96,2626.945849629664
831,"(1, 1, 7),(3, 1, 6, 12)",28.2,78.97,2632.2601435342012
3567,"(5, 0, 2),(4, 1, 4, 12)",27.1,78.97,2627.291516568154
1895,"(3, 0, 3),(4, 1, 4, 12)",27.12,78.97,2624.4423789793673
2952,"(4, 0, 6),(4, 1, 4, 12)",27.06,78.97,2631.2326496392425
221,"(1, 0, 4),(3, 1, 4, 12)",27.72,78.97,2635.200886482448
3555,"(5, 0, 2),(3, 1, 5, 12)",27.33,78.98,2627.6243597199273
3999,"(5, 1, 2),(3, 1, 5, 12)",28.28,78.98,2626.7684073339215
598,"(1, 1, 3),(3, 1, 5, 12)",28.62,78.99,2627.684511173437
3681,"(5, 0, 4),(3, 1, 6, 12)",26.97,78.99,2631.8606435682213
417,"(1, 0, 7),(3, 1, 6, 12)",27.15,78.99,2631.028732637808
3493,"(5, 0, 1),(3, 1, 5, 12)",27.18,79.0,2623.759513066244
1562,"(2, 1, 5),(3, 1, 5, 12)",28.34,79.01,2632.1000912551535
1822,"(3, 0, 2),(3, 1, 6, 12)",27.25,79.01,2626.254810472695
2204,"(3, 1, 1),(3, 1, 6, 12)",28.29,79.01,2625.4225532880805
952,"(2, 0, 2),(3, 1, 4, 12)",27.66,79.02,2630.698031229074
2758,"(4, 0, 3),(3, 1, 5, 12)",27.27,79.02,2627.1629448396566
2663,"(4, 0, 1),(5, 1, 7, 12)",27.14,79.03,2636.2003791443262
1268,"(2, 0, 7),(3, 1, 4, 12)",27.58,79.04,2637.860342514019
302,"(1, 0, 5),(4, 1, 4, 12)",27.22,79.04,2623.223234263996
3554,"(5, 0, 2),(3, 1, 4, 12)",27.35,79.04,2631.1264872264683
3938,"(5, 1, 1),(3, 1, 6, 12)",28.28,79.05,2629.3453879670933
100,"(1, 0, 2),(3, 1, 5, 12)",27.33,79.06,2621.067214153366
2339,"(3, 1, 3),(4, 1, 4, 12)",27.97,79.06,2619.7340359761465
2757,"(4, 0, 3),(3, 1, 4, 12)",27.66,79.06,2638.510490438596
599,"(1, 1, 3),(3, 1, 6, 12)",28.5,79.06,2630.5867629654285
479,"(1, 1, 1),(3, 1, 6, 12)",28.49,79.08,2624.887456143121
3018,"(4, 0, 7),(4, 1, 4, 12)",26.49,79.08,2628.532033913225
1574,"(2, 1, 5),(4, 1, 4, 12)",28.09,79.09,2625.9912344896866
1025,"(2, 0, 3),(4, 1, 4, 12)",27.29,79.09,2624.4026443025396
1202,"(2, 0, 6),(3, 1, 4, 12)",27.6,79.09,2639.0416325072492
2328,"(3, 1, 3),(3, 1, 4, 12)",28.18,79.09,2620.05161182585
539,"(1, 1, 2),(3, 1, 6, 12)",28.47,79.09,2626.420088912145
99,"(1, 0, 2),(3, 1, 4, 12)",27.95,79.09,2636.959796906993
1629,"(2, 1, 6),(3, 1, 6, 12)",28.32,79.11,2632.9163363039615
1014,"(2, 0, 3),(3, 1, 5, 12)",27.36,79.11,2624.963818365166
2203,"(3, 1, 1),(3, 1, 5, 12)",28.53,79.12,2634.319407569778
2648,"(4, 0, 1),(4, 1, 4, 12)",27.25,79.12,2621.9719632987026
3192,"(4, 1, 3),(4, 1, 4, 12)",28.16,79.13,2623.7168237274736
36,"(1, 0, 1),(3, 1, 5, 12)",27.37,79.13,2619.373042815458
1393,"(2, 1, 2),(3, 1, 4, 12)",28.5,79.13,2623.7423018072377
2021,"(3, 0, 5),(4, 1, 4, 12)",26.61,79.14,2619.6475063703792
2815,"(4, 0, 4),(3, 1, 4, 12)",26.81,79.14,2624.815230578851
110,"(1, 0, 2),(4, 1, 4, 12)",27.33,79.15,2619.4886126848387
2329,"(3, 1, 3),(3, 1, 5, 12)",28.15,79.15,2621.7752771746937
2939,"(4, 0, 6),(3, 1, 5, 12)",26.82,79.15,2630.194285646893
172,"(1, 0, 3),(4, 1, 4, 12)",27.27,79.15,2620.1079735176945
1443,"(2, 1, 3),(3, 1, 5, 12)",28.34,79.15,2623.3116509573324
1214,"(2, 0, 6),(4, 1, 4, 12)",27.21,79.15,2627.0150391164016
3937,"(5, 1, 1),(3, 1, 5, 12)",28.43,79.16,2625.8034142923434
1641,"(2, 1, 6),(4, 1, 4, 12)",28.24,79.16,2627.3774443381017
1269,"(2, 0, 7),(3, 1, 5, 12)",27.2,79.16,2629.6251265674723
2403,"(3, 1, 4),(4, 1, 5, 12)",27.92,79.17,2620.996527861853
1293,"(2, 0, 7),(5, 1, 7, 12)",27.18,79.17,2639.120319497617
1575,"(2, 1, 5),(4, 1, 5, 12)",28.07,79.18,2627.6827439278577
